source,appid,review_id,steam_language,created_at,updated_at,voted_up,votes_up,votes_funny,comment_count,weighted_vote_score,steam_purchase_type,received_for_free,written_during_early_access,steam_deck,review_text,author_steamid,author_num_games_owned,author_num_reviews,author_playtime_forever,author_playtime_last_two_weeks,author_playtime_at_review,author_last_played
steam,2795000,188684632,english,2025-02-24T21:38:36+00:00,2025-02-24T21:38:36+00:00,True,55,0,0,0.811584591865539551,,False,False,,"Grump Bump! I saw the Game Grumps play this, and wanted to try it for myself. The art style is really cute, and the game play is challenging, but fun.  I usually don't like stealth games, but I enjoyed this one.",76561198989157575,33,15,150,0,90,2025-02-24T22:13:26+00:00
steam,2795000,205995696,english,2025-10-05T23:05:39+00:00,2025-10-05T23:05:39+00:00,True,24,0,0,0.769372403621673584,,False,False,,"I am actually surprised they're not charging for this game.

Usually, when I see ""student project"" and ""free"" I'll usually pass it over.  Often times these free games perform very poorly and look kind of rubbish.  NOT THIS ONE.

The art style is consistent and terribly charming.  It's actually quite light-hearted, which masks the really dark undercurrent of the game:  you are playing a werewolf, who will easily, if not cheerfully, murder anybody who looks at him funny and then snarfle the corpse like a BBQ brochette.

That tension defines the game:  you're a janitor who, for corporate dystopian rules, is obliged to work at night while transformed.  Other workers are also there.  You need to still clean those messes, but you need to not be seen while doing it, so you become a stealth-janitor, skulking about, trying to avoid being seen so you don't have to silence witnesses (and then eat them to conceal the evidence).  The game will reward you with a tiny medal if you can get through an evening without murder, but... eh, who's going to miss an office drone or two, anyway?

I quite like a stealth game, and good ones have opponents who don't just walk around predictably in squares with convenient pauses - those games are geometry problems.  People here are more believable, meandering to do various tasks.  But, in a nod towards good UI in gameplay, a little timer appears over their head telling you how long you have before they do something else, which lets you decide if it's worth chancing going for that hallway, or waiting to see where that person goes next.

So, to recap:  the art style is remarkably cheerful, and apart from the excessively juicy transformation noise, it's not really gruesome either.  (Okay, consuming a corpse leaves big red splashes and what my wife would call ""squiggly spooges"" on the ground; they're more like pink corkscrews than internal organs).  If these guys actually tried to sell this game, I'd've actually bought it, and I can't think of any higher praise than that.  I don't even plan on pushing my gaming-adjacent stuff much at all here, that's how highly I hold this in regard.  (But do look at my profile if you'd be so kind.)

It's free, it's pretty good.  Can't beat that.  Give it a try.",76561197993329136,0,267,20,0,20,2025-10-05T12:04:38+00:00
steam,2795000,187644947,english,2025-02-10T17:25:26+00:00,2025-02-10T17:25:26+00:00,True,26,0,0,0.763077378273010254,,False,False,,"The WereCleaner was a fun and short experience! I really liked the gameplay and the little story, and going for all the achievements made it even more enjoyable. It's free, so definitely worth checking out!",76561199097546986,229,17,263,0,263,2025-02-10T17:17:31+00:00
steam,2795000,189339857,english,2025-03-04T11:38:40+00:00,2025-03-04T16:23:57+00:00,True,25,2,0,0.759913980960845947,,False,False,,"What a great, fun game. I can't believe the devs aren't charging a single dime for this great game. The artstyle looks pretty good, the controls are quite fluid and also, these devs included animated cut scenes into the game. 

This game has more soul and effort than all those AAA games who give you wedgie, grab all the cash from your wallet like a gold digger in Miami and say 'Just check out our new game, a free to play looter shooter/battle royale.' I really hope the next game that these devs are cooking receives good reception and gets plentiful funding so that they can work on the next game.",76561198983877377,257,148,191,0,119,2025-06-09T09:27:13+00:00
steam,2795000,194080177,english,2025-05-02T21:07:51+00:00,2025-05-02T21:07:51+00:00,True,26,1,0,0.744578421115875244,,False,False,,"A gem, hidden in the garbage pile of free games. It's really surprising that such a good game is free.

You play as Kyle, an office janitor at day and a werewolf at night. And being a werewolf won't pay your rent, so you still have to clean others mess and try to not make even more mess. Apparently everyone works in the office at night, so you'll have to be sneaky. Or not. Noone is gonna look for their bodies anyway :)

Great soundtrack, very cute artstyle, fun gameplay. It's pretty short though, but it's alright, still worth playing. Pretty challenging to go for 100%, but not too hard. There's a little bug, when clerks can detect me with their ass somehow, but it's not critical

9/10",76561198832694357,418,15,123,0,123,2025-05-02T20:40:43+00:00
steam,2795000,207350730,english,2025-10-23T00:23:38+00:00,2025-10-23T00:23:38+00:00,True,25,6,0,0.738232076168060303,,False,False,,Fun little game about cleaning an office while snacking on the go.,76561198034315837,8730,1054,33,0,33,2025-10-23T00:22:45+00:00
steam,2795000,212984032,english,2025-12-10T14:20:46+00:00,2025-12-10T14:20:46+00:00,True,20,4,0,0.729814827442169189,,False,False,,Lowkey don't even blame Kyle for killing his co-workers. We ALL would be mad if we were forced to come into work overnight or else no pay.,76561198343924800,300,36,82,0,82,2025-12-10T14:15:12+00:00
steam,2795000,188049317,english,2025-02-16T14:35:53+00:00,2025-02-16T14:35:53+00:00,True,18,0,0,0.716190099716186523,,False,False,,"as someone who did 100% in under 2 hours i must say that its a very good indie game
the 100% wasnt a bad experience but a very good one actually!
tho i guess its a little too easy with the descriptions
overall opinion: good i recomend",76561199218321339,42,21,86,0,86,2025-02-16T14:29:14+00:00
steam,2795000,214768482,english,2025-12-31T21:31:12+00:00,2025-12-31T21:31:12+00:00,True,21,0,0,0.714233219623565674,,False,False,,"I saw a cute little stealth (mostly) puzzle cleaning game and was like. Sure, I'll give it a shot. Played the game for a few hours, got every achievement and uninstalled, satisfied. Honestly, enjoyed the experience. Game knew what it wanted to be, stuck to it and that's all it had to do. You're not going to be playing for a long time, but you're going to have a good time.  Would recommend. Worth far more than the free it is in the store.",76561198025021134,527,4,239,0,239,2025-12-31T21:25:02+00:00
steam,2795000,206927014,english,2025-10-17T14:03:14+00:00,2025-10-17T14:03:14+00:00,True,17,0,4,0.705022275447845459,,False,False,,"[h2] 🌕 The WereCleaner Review 🐺[/h2]

You play as Kyle, an exceptional cleaner who takes great pride in his work. Everything seems perfectly ordinary… [b] UNTIL [/b] the full moon rises and you transform into a werewolf! To make matters worse, your boss Daryl switches your shifts to the night. You’ll need to hide your secret from him at all costs, what could possibly go wrong ?!

The WereCleaner is a fun and wonderfully silly game with seven levels, all set in the same workplace called Howlin’ Hugs. As you progress, new doors unlock and fresh areas become available to clean. Since you’re working nights, you’ll need to avoid the other employees (and especially Daryl!) so they don’t discover your furry secret… or, if you’re feeling mischievous, you can simply eat them all!!!

Each level is a blend of chaos and comedy as you juggle cleaning up messes while trying to stay hidden. The gameplay loop is simple yet entertaining, and there’s plenty of charm packed into every shift.

The game is free, funny, light-hearted, and great fun from start to finish. The short story is amusing, and it’s also quite easy to 100% perfect for achievement hunters looking for a quick laugh. I encountered no bugs or issues during my playthrough, which makes the experience even smoother.

Don’t get caught, werewolves! 💀🍖

[quote]Tip: If you want to find more reviews like this, check out our curator page [url=https://store.steampowered.com/curator/41527689/]Moon's Tea House[/url][/quote]",76561198219237777,283,50,164,0,151,2025-10-17T14:15:48+00:00
steam,2795000,195294394,english,2025-05-20T19:33:45+00:00,2025-05-20T19:33:45+00:00,True,14,0,0,0.695431530475616455,,False,False,,"It was quite a short play, but it's FREE which is crazy because of the quality.

The music is funky and the artstyle is endearing, with Kyle looking adorable.

I managed to 100% the game in under 4 hours, and it allows for different playstyles: complete quickly, complete slowly, kill no one, kill them all...",76561199149131763,42,5,203,0,203,2025-05-20T18:52:51+00:00
steam,2795000,196741986,english,2025-06-08T19:28:16+00:00,2025-06-08T19:28:16+00:00,True,16,0,0,0.695420682430267334,,False,False,,"One of best games empty wallet can buy.
Short, sweet and to the point, doesn't overstay it's welcome, and new mechanics being added almost every level makes it feel fresh all the way

Really hoping sometime in future we may get week 2 dlc",76561198279833727,571,86,108,0,108,2025-06-08T16:45:37+00:00
